Site ID,Site Name,Country,Hub,IGBP,Years,Length
US-Ha1,Harvard Forest EMS Tower (HFR1),USA,AmeriFlux,DBF,1991-2025,35
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",Canada,AmeriFlux,DBF,1994-2024,31
US-PFa,Park Falls/WLEF,USA,AmeriFlux,MF,1995-2025,31
US-Ho1,Howland Forest (main tower),USA,AmeriFlux,ENF,1996-2025,30
US-Me4,Metolius-old aged ponderosa pine,USA,AmeriFlux,ENF,1996-2025,30
BE-Vie,Vielsalm,Belgium,ICOS,MF,1996-2024,29
DE-Tha,Tharandt,Germany,ICOS,ENF,1996-2024,29
DK-Sor,Soroe,Denmark,ICOS,DBF,1996-2024,29
US-NR1,Niwot Ridge Forest (LTER NWT1),USA,AmeriFlux,ENF,1998-2025,28
US-WCr,Willow Creek,USA,AmeriFlux,DBF,1998-2025,28
CH-Dav,Davos,Switzerland,ICOS,ENF,1997-2024,28
FI-Hyy,Hyytiala,Finland,ICOS,ENF,1997-2024,28
FR-Hes,Hesse,France,ICOS,DBF,1997-2024,28
NL-Loo,Loobos,Netherlands,ICOS,ENF,1997-2024,28
US-Ho2,Howland Forest (west tower),USA,AmeriFlux,ENF,1999-2025,27
US-MMS,Morgan Monroe State Forest,USA,AmeriFlux,DBF,1999-2025,27
RU-Fyo,Fyodorovskoye,Russia,ICOS,ENF,1998-2024,27
US-Los,Lost Creek,USA,AmeriFlux,WET,2000-2025,26
US-UMB,Univ. of Mich. Biological Station,USA,AmeriFlux,DBF,2000-2025,26
US-Var,Vaira Ranch- Ione,USA,AmeriFlux,GRA,2000-2025,26
BE-Bra,Brasschaat,Belgium,ICOS,ENF,1999-2024,26
IT-Ren,Renon,Italy,ICOS,ENF,1999-2024,26
US-Syv,Sylvania Wilderness Area,USA,AmeriFlux,MF,2001-2025,25
US-Ton,Tonzi Ranch,USA,AmeriFlux,WSA,2001-2025,25
DE-Hai,Hainich,Germany,ICOS,DBF,2000-2024,25
FR-Pue,Puechabon,France,ICOS,EBF,2000-2024,25
IL-Yat,Yatir,Israel,ICOS,ENF,2000-2024,25
US-Me2,Metolius mature ponderosa pine,USA,AmeriFlux,ENF,2002-2025,24
US-Ne1,Mead - irrigated continuous maize site,USA,AmeriFlux,CRO,2001-2024,24
US-Ne2,Mead - irrigated maize-soybean rotation site,USA,AmeriFlux,CRO,2001-2024,24
US-Ne3,Mead - rainfed maize-soybean rotation site,USA,AmeriFlux,CRO,2001-2024,24
JP-Tak,Takayama deciduous broadleaf forest site,Japan,ICOS,DBF,1998-2021,24
JP-Yms,Yamashiro forest meteorology research site,Japan,ICOS,DBF,2000-2023,24
CA-Mer,"Ontario - Eastern Peatland, Mer Bleue",Canada,AmeriFlux,WET,1998-2020,23
US-ARM,ARM Southern Great Plains site- Lamont,USA,AmeriFlux,CRO,2003-2025,23
JP-Api,Appi forest meteorology research site,Japan,ICOS,DBF,2000-2022,23
JP-Tef,CC-LaG Teshio Experimental Forest,Japan,ICOS,DNF,2001-2023,23
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,Canada,AmeriFlux,ENF,2002-2023,22
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,Canada,AmeriFlux,ENF,2002-2023,22
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,Canada,AmeriFlux,ENF,2002-2023,22
US-GLE,GLEES,USA,AmeriFlux,ENF,1999-2020,22
US-SRM,Santa Rita Mesquite,USA,AmeriFlux,WSA,2004-2025,22
US-Wkg,Walnut Gulch Kendall Grasslands,USA,AmeriFlux,GRA,2004-2025,22
IT-MBo,Monte Bondone,Italy,ICOS,GRA,2003-2024,22
JP-Khw,Kahoku Experiment watershed,Japan,ICOS,ENF,2000-2021,22
UK-AMo,Auchencorth Moss,United Kingdom,ICOS,WET,2003-2024,22
BR-Sa1,Santarem-Km67-Primary Forest,Brazil,AmeriFlux,EBF,2001-2021,21
US-Bar,Bartlett Experimental Forest,USA,AmeriFlux,DBF,2004-2024,21
US-SP1,Slashpine-Austin Cary- 65yrs nat regen,USA,AmeriFlux,ENF,2000-2020,21
BE-Lon,Lonzee,Belgium,ICOS,CRO,2004-2024,21
CH-Lae,Laegern,Switzerland,ICOS,MF,2004-2024,21
CZ-BK1,Bily Kriz forest,Czech Republic,ICOS,ENF,2004-2024,21
DE-Gri,Grillenburg,Germany,ICOS,GRA,2004-2024,21
ES-LJu,Llano de los Juanes,Spain,ICOS,OSH,2004-2024,21
FR-Gri,Grignon,France,ICOS,CRO,2004-2024,21
IT-BCi,Borgo Cioffi,Italy,ICOS,CRO,2004-2024,21
JP-Fjy,Fujiyoshida forest meteorology research site,Japan,ICOS,ENF,2001-2021,21
US-Slt,Silas Little- New Jersey,USA,AmeriFlux,DBF,2005-2024,20
CH-Fru,Fruebuel,Switzerland,ICOS,GRA,2005-2024,20
FR-Aur,Aurade,France,ICOS,CRO,2005-2024,20
IT-Col,Collelongo,Italy,AmeriFlux,DBF,1996-2014,19
US-ICh,Imnavait Creek Watershed Heath Tundra,USA,AmeriFlux,OSH,2007-2025,19
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,USA,AmeriFlux,WET,2007-2025,19
US-ICt,Imnavait Creek Watershed Tussock Tundra,USA,AmeriFlux,OSH,2007-2025,19
US-Seg,Sevilleta grassland,USA,AmeriFlux,GRA,2007-2025,19
US-Ses,Sevilleta shrubland,USA,AmeriFlux,OSH,2007-2025,19
US-UMd,UMBS Disturbance,USA,AmeriFlux,DBF,2007-2025,19
US-Vcm,Valles Caldera Mixed Conifer,USA,AmeriFlux,ENF,2007-2025,19
US-Vcp,Valles Caldera Ponderosa Pine,USA,AmeriFlux,ENF,2007-2025,19
US-Whs,Walnut Gulch Lucky Hills Shrub,USA,AmeriFlux,OSH,2007-2025,19
US-Wjs,Willard Juniper Savannah,USA,AmeriFlux,SAV,2007-2025,19
CH-Aws,Alp Weissenstein,Switzerland,ICOS,GRA,2006-2024,19
CZ-wet,Trebon,Czech Republic,ICOS,WET,2006-2024,19
ES-Agu,Aguamarga,Spain,ICOS,OSH,2006-2024,19
JP-Spp,Sapporo forest meteorology research site,Japan,ICOS,DBF,2000-2018,19
JP-Tmd,Tomakomai Flux Research Site Disturbed,Japan,ICOS,GRA,2005-2023,19
CA-LP1,British Columbia - Mountain pine beetle-attacked lodgepole pine stand,Canada,AmeriFlux,ENF,2007-2024,18
US-MOz,Missouri Ozark Site,USA,AmeriFlux,DBF,2004-2021,18
US-Mpj,Mountainair Pinyon-Juniper Woodland,USA,AmeriFlux,WSA,2008-2025,18
US-SRG,Santa Rita Grassland,USA,AmeriFlux,GRA,2008-2025,18
JP-Fhk,Fuji Hokuroku Flux Observation Site,Japan,ICOS,DNF,2006-2023,18
US-Elm,Everglades (long hydroperiod marsh),USA,AmeriFlux,WET,2008-2024,17
US-Esm,Everglades (short hydroperiod marsh),USA,AmeriFlux,WET,2008-2024,17
US-NC4,NC_AlligatorRiver,USA,AmeriFlux,WET,2009-2025,17
US-Rpf,Poker Flat Research Range: Succession from fire scar to deciduous forest,USA,AmeriFlux,DBF,2008-2024,17
DE-Obe,Oberbarenburg,Germany,ICOS,ENF,2008-2024,17
FR-FBn,Font-Blanche,France,ICOS,ENF,2008-2024,17
